zip_code,country,nuts1,nuts2,nuts3,numnuts,nuts_code
2387,BE,2,1,3,1,BE21
2390,BE,2,1,1,1,BE21
2400,BE,2,1,3,1,BE21
2430,BE,2,1,3,1,BE21
2431,BE,2,1,3,1,BE21
2440,BE,2,1,3,1,BE21
2450,BE,2,1,3,1,BE21
2460,BE,2,1,3,1,BE21
2470,BE,2,1,3,1,BE21
2480,BE,2,1,3,1,BE21
2490,BE,2,1,3,1,BE21
2491,BE,2,1,3,1,BE21
2500,BE,2,1,2,1,BE21
2520,BE,2,1,1,1,BE21
2530,BE,2,1,1,1,BE21
2531,BE,2,1,1,1,BE21
2540,BE,2,1,1,1,BE21
2547,BE,2,1,1,1,BE21
2550,BE,2,1,1,1,BE21
2560,BE,2,1,2,1,BE21
2570,BE,2,1,2,1,BE21
2580,BE,2,1,2,1,BE21
2590,BE,2,1,2,1,BE21
2600,BE,2,1,1,1,BE21
2610,BE,2,1,1,1,BE21
2620,BE,2,1,1,1,BE21
2627,BE,2,1,1,1,BE21
2630,BE,2,1,1,1,BE21
2640,BE,2,1,1,1,BE21
2650,BE,2,1,1,1,BE21
2660,BE,2,1,1,1,BE21
2800,BE,2,1,2,1,BE21
2801,BE,2,1,2,1,BE21
2811,BE,2,1,2,1,BE21
2812,BE,2,1,2,1,BE21
2820,BE,2,1,2,1,BE21
2830,BE,2,1,2,1,BE21
2840,BE,2,1,1,1,BE21
2845,BE,2,1,1,1,BE21
2850,BE,2,1,1,1,BE21
2860,BE,2,1,2,1,BE21
2861,BE,2,1,2,1,BE21
2870,BE,2,1,2,1,BE21
2880,BE,2,1,2,1,BE21
2890,BE,2,1,2,1,BE21
2900,BE,2,1,1,1,BE21
2910,BE,2,1,1,1,BE21
2920,BE,2,1,1,1,BE21
2930,BE,2,1,1,1,BE21
2940,BE,2,1,1,1,BE21
2950,BE,2,1,1,1,BE21
2960,BE,2,1,1,1,BE21
2970,BE,2,1,1,1,BE21
2980,BE,2,1,1,1,BE21
2990,BE,2,1,1,1,BE21
3000,BE,2,4,2,1,BE24
3001,BE,2,4,2,1,BE24
3010,BE,2,4,2,1,BE24
3012,BE,2,4,2,1,BE24
3018,BE,2,4,2,1,BE24
3020,BE,2,4,2,1,BE24
3040,BE,2,4,2,1,BE24
3050,BE,2,4,2,1,BE24
3051,BE,2,4,2,1,BE24
3052,BE,2,4,2,1,BE24
3053,BE,2,4,2,1,BE24
3054,BE,2,4,2,1,BE24
3060,BE,2,4,2,1,BE24
3061,BE,2,4,2,1,BE24
